"identifier","manufacturer","model","year","capacity","range"
"VR-3Q4B6","Airbus","A220-300","2020b'\x86L'","150","6300"
"9H-GL104","ATR","ATR 72-600"," 81","70","1500"
"XA-3SOY7","Bombardier","CRJ900","2023b'\x8a9'","90","2950"
"XU-UTMZJ","Boeing","737 MAX 8","727","178","6570"
"XC-V5RRR","Airbus","A340-600","447","320","14630"
"SE-06B8Q","Boeing","757-300","941","243","6400"
"ZS-UESG8","ATR","ATR 42-600","459","48","1300"
"PT-AW33T","Airbus","A330-200","2023b'\xd1R'","260","13450"
"CA-EU6GH","Embraer","E190-E2","2020b""\xc0'""","114","5300"
"VH-WP6K8","Embraer","E175","124","88","3700"
"YU-45PL2","Airbus","A340-300","746","280","13400"
"VR-SDGY2","Embraer","E195","2021b'\x90\xdf'","116","4200"
"JA-8CPM1","Airbus","A330-900neo","2019b'\xcfa'","300","13330"
"YU-VUF1R","Airbus","A320","457","180","6150"
"VH-0OXUG","Boeing","737 MAX 8","2024b'\r8'","178","6570"
"VQ-3G42D","Airbus","A330-200","2022b'\xf7\x1c'","260","13450"
"NS-N4PP1","Bombardier","CRJ200","19 ","50","3100"
"9H-LXCNM","Airbus","A330-900neo","2017b'\xcd?'","300","13330"
"VU-050OP","ATR","ATR 42-600","2019b'\xff\x96'","48","1300"
"VQ-EP45A","Airbus","A220-300","2024b'\x98M'","150","6300"
"XA-3V2X2","Airbus","A330-900neo","2020b'\x02\xd7'","300","13330"
"HA-4GZXT","Boeing","787-8","2018b'P8'","242","13620"
"EI-ZP43T","ATR","ATR 42-600","2022b'\x86\x18'","48","1300"
"XC-STFMA","Boeing","787-9","2018b'\x87\xb5'","290","14140"
"4X-NAS1P","Boeing","737 MAX 8","2018b'-\xca'","178","6570"
"EC-SADBG","Airbus","A220-300","831","150","6300"
"ZS-18H1U","Boeing","777-200ER","679","314","13900"
"CS-JVLIP","Boeing","767-300ER","2024b'sK'","270","11000"
"VR-CT39M","Boeing","777-300ER","2019b'\xbb\xca'","396","13650"
"GB-D9GXY","Boeing","777-200ER","749","314","13900"
"FR-WHP86","ATR","ATR 72-600","2021b'#\xb9'","70","1500"
"9H-8YBFU","Airbus","A380-800","461","525","15200"
"DE-B0WI2","Embraer","E190","2023b'\xbft'","100","4500"
"VR-OZ36P","Boeing","747-8I","637","467","14815"
"VQ-HCSOT","Boeing","757-200","2019b'v.'","200","6300"
"IT-5H6IW","Airbus","A380-800"," 42","525","15200"
"VQ-Q7ABA","Boeing","747-400","567","416","13450"
"CA-VNE7H","Boeing","747-400","962","416","13450"
"CA-Z5W78","Bombardier","CRJ700","2024b'\xfb='","70","3700"
"VR-BSNC1","Embraer","E195","2018b'\xf3\x15'","116","4200"
"HA-B7KPD","Airbus","A340-600","929","320","14630"
"VU-LC6HE","Airbus","A220-100","2024b'\xca\t'","120","6300"
"YU-86MGZ","Embraer","E190","2021b'z\xca'","100","4500"
"VH-2DADU","Bombardier","CRJ700"," 99","70","3700"
"EC-GUN48","Boeing","747-400","53 ","416","13450"
"YU-28J57","Boeing","787-10","2017b'h\xdf'","330","11910"
"YU-ZMUCB","Boeing","747-400","961","416","13450"
"UR-A5RE2","Boeing","787-8","438","242","13620"
