"code","name","city","country","latitude","longitude","icao","type"
"KJB","Kurnool Airport","Orvakal","IN","15.716288","78.16923","VOKU","private_airport"
"HBUUK","Mokuti Lodge Airport","Mokuti Lodge","NA","-18.812799","17.059401","FYMO","small_airport"
"VXTES","Inagua Airport","Matthew Town","BS","20.975","-73.666901","MYIG","medium_airport"
"SPMXM","Ekati Airport","Ekati","CA","64.69889832","-110.61499786","CYOA","medium_airport"
"LUN","Kenneth Kaunda International Airport","Lusaka","ZM","-15.330833B","28.452722Z","FLKK","large_airport"
"KNR","Jam Airport","Jam","IR","27820499","523522","OIBJ","medium_airport"
"SKF","Lackland Air Force Base","San Antonio","US","29.38419914","-98.58110046","KSKF","private_airport"
"HQGHF","Langtang Airport","Langtang","NP","28.20000076","85.58300018","VNLT","small_airport"
"GBA","Cotswold Airport","Cirencester, Gloucestershire","GB","51668528","-2056599","EGBP","small_airport"
"EXZDE","Jaqué Airport","Jaqué","PA","7.51778","-78.157204","MPJE","small_airport"
"SAL","Monseñor Óscar Arnulfo Romero International Airport","San Salvador (San Luis Talpa)","SV","13.4409","-89.055702","MSLP","very_small_airport"
"MEVHE","Muynak Airport","Muynak","UZ","43.753636","59.029884","UTNM","small_airport"
"ORB","Örebro Airport","Örebro","SE","5922370148","1503800011","ESOE","medium_airport"
"WCJPF","Shiringayoc Airport","Shiringayoc","PE","-11.898","-69.0625","SPSY","small_airport"
"IS JT","Malta International Airport","Valletta","MT","35.857498","14.4775","LMML","large_airport"
"ASUYV","Francisco Bangoy International Airport","Davao","PH","7.12552","125.646004","RPMD","large_airport"
"BFTJA","Toronto Lester B. Pearson International Airport","Toronto","CA","43.6772","-79.6306","CYYZ","large_airport"
"TGT","Tanga Airport","Tanga","TZ","-509236","39071201","HTTG","medium_airport"
"TKW","Tekin Airport","Tekin","PG","-5.243667","142.165194","AYTN","smallest_airport"
"OCF","Ocala International Airport - Jim Taylor Field","Ocala","US","2917259979","-8222419739","KOCF","small_airport"
"TPH","Tonopah Airport","Tonopah","US","3806019974","-117086998","KTPH","medium_airport"
"PSB","Mid-State Regional Airport","Philipsburg","US","40.884399A","-78.087303X","KPSB","small_airport"
"VMU","Baimuru Airport","Baimuru","PG","-7.496955","144.821756","AYBA","very_small_airport"
"BTY","Beatty Airport","Beatty","US","36.86109924A","-116.78700256Y","KBTY","small_airport"
"FLEQY","Wewak International Airport","Wewak","PG","-3.58383012","143.66900635","AYWK","medium_airport"
"KIM","Kimberley Airport","Kimberley","ZA","-28.80279922B","24.76519966Z","FAKM","medium_airport"
"MKM","Mukah Airport","Mukah","MY","2.881944","112.043333","WBGK","smallest_airport"
"YQD","The Pas Airport","The Pas","CA","53.97140121B","-101.09100342X","CYQD","medium_airport"
"SYEQI","Washington County Airport","Washington","US","40.136501","-80.290199","KAFJ","small_airport"
"BHHPN","James M Cox Dayton International Airport","Dayton","US","39.902401","-84.219398","KDAY","medium_airport"
"AZA","Mesa Gateway Airport","Mesa","US","333078","-111654999","KIWA","medium_airport"
"FSC","Figari Sud-Corse Airport","Figari","FR","41.500599","9.09778","LFKF","private_airport"
"YCE","Centralia / James T. Field Memorial Aerodrome","Huron Park","CA","43285599","-81508301","CYCE","medium_airport"
"GPO","General Pico Airport","General Pico","AR","-35696201","-63758301","SAZG","medium_airport"
"IDFA ","Colac Airport","Colac Otway Shire","AU","-38.286701","143.679993","YOLA","small_airport"
"LTFUJ","St. John's International Airport","St. John's","CA","47.618599","-52.7519","CYYT","large_airport"
" XOSQ","RAAF Base Richmond","Richmond","AU","-33.604652","150.783051","YSRI","medium_airport"
"AVO","Avon Park Executive Airport","Avon Park","US","27.59119987C","-81.52780151Z","KAVO","small_airport"
"USR","Ust-Nera Airport","Ust-Nera","RU","64550003","143115005","UEMT","medium_airport"
"GRWRM","Gabbs Airport","Gabbs","US","38.923173","-117.9572","KGAB","small_airport"
"CYT","Yakataga Airport","Yakataga","US","60080974","-142494541","PACY","small_airport"
"PIBYU","Iejima Airport","Ie","JP","26.722537","127.786801","RORE","medium_airport"
"MVL","Morrisville-Stowe State Airport","Morrisville","US","44.534599","-72.613998","KMVL","smallest_airport"
"GVL","Lee Gilmer Memorial Airport","Gainesville","US","34.27259827A","-83.8302002Z","KGVL","small_airport"
"USM","Samui Airport","Na Thon (Ko Samui Island)","TH","954779","100061996","VTSM","medium_airport"
"HDO","Hindon Airport / Hindon Air Force Station","Ghaziabad","IN","28707701","77358902","VIDX","small_airport"
"VTZ","Visakhapatnam Airport","Visakhapatnam","IN","17.723506","83.227729","VOVZ","private_airport"
"IDN","Indagen Airport","Indagen","PG","-6.22663","147.244","AYID","private_airport"
"SMVUR","Ulaanbaatar Chinggis Khaan International Airport","Ulaanbaatar (Sergelen)","MN","47.646916","106.819833","ZMCK","large_airport"
"LCUMM","Lamen Bay Airport","Lamen Bay","VU","-16.58419991","168.15899658","NVSM","small_airport"
"HLYZF","Óbidos Municipal Airport","Óbidos","BR","-1.867981","-55.514596","SNTI","small_airport"
"KVECY","Turukhansk Airport","Turukhansk","RU","65.797203","87.935303","UOTT","small_airport"
"PIO","Captain Renán Elías Olivera International Airport","Pisco","PE","-13.7449","-76.220299","SPSO","very_small_airport"
"SZQEQ","Gabala International Airport","Gabala","AZ","40.808617","47.725389","UBBQ","medium_airport"
"AGL","Wanigela Airport","Wanigela","PG","-9.3375","149.155556","AYWG","private_airport"
"GAO","Mariana Grajales Airport","Guantánamo","CU","20.0853","-75.158302","MUGT","smallest_airport"
"ROT","Rotorua Regional Airport","Rotorua","NZ","-38.1092","176.317001","NZRO","private_airport"
" OCAG","Secunda Airport","Secunda","ZA","-26.52409935","29.17009926","FASC","medium_airport"
"SCK","Stockton Metropolitan Airport","Stockton","US","37.893279","-121.238079","KSCK","smallest_airport"
"FNE","Fane Airport","Fane Mission","PG","-8.54927778","147.08583333","AYFA","very_small_airport"
"KR OU","Rogers Municipal Airport-Carter Field","Rogers","US","36.37229919","-94.10690308","KROG","small_airport"
"ARA","Acadiana Regional Airport","New Iberia","US","30.0378","-91.883904","KARA","private_airport"
"CBB","Jorge Wilsterman International Airport","Cochabamba","BO","-1742110062","-6617710114","SLCB","medium_airport"
"PUP","Po Airport","Po","BF","11.179139","-1.148472","DFCP","smallest_airport"
"SWAEI","Zonalnoye Airport","Tymovskoye","RU","50.6692009","142.76100159","UHSO","small_airport"
"KUD","Kudat Airport","Kudat","MY","6.924111","116.837068","WBKT","very_small_airport"
"EHLAE","Napa County Airport","Napa","US","38.2132","-122.280998","KAPC","small_airport"
"MSO","Missoula International Airport","Missoula","US","46.91630173B","-114.0910034Z","KMSO","medium_airport"
"KQGRK","Southwest Washington Regional Airport","Kelso","US","46.11800003","-122.89800262","KKLS","medium_airport"
"BVH","Brigadeiro Camarão Airport","Vilhena","BR","-12.6944","-60.098301","SBVH","private_airport"
"MDGNJ","Cocos (Keeling) Islands Airport","West Island","CC","-12.19134","96.833696","YPCC","medium_airport"
"UKS","Sevastopol International Airport / Belbek Air Base","Sevastopol","UA","44.691822","33.57462","UKFB","very_small_airport"
"LYCDU","Mostar International Airport","Mostar","BA","43.28290176","17.84589958","LQMO","medium_airport"
"SSL","Santa Rosalia Airport","Santa Rosalia","CO","5.1309","-70.8682","SKSL","smallest_airport"
"ELXYT","Weihai Dashuibo Airport","Weihai","CN","37.187099","122.228996","ZSWH","medium_airport"
"WEG M","Tarinkot Airport","Tarinkot","AF","32.604198","65.865799","OATN","small_airport"
"ANE","Angers Marcé airport","Angers","FR","47.560299B","-0.312222X","LFJR","medium_airport"
"MWV","Mondulkiri Airport","Sen Monorom","KH","12.464562A","107.188039Z","VDMK","small_airport"
"YCZ","Fairmont Hot Springs Airport","Fairmont Hot Springs","CA","50.331052","-115.873739","CYCZ","private_airport"
"OPA","Kópasker Airport","Kópasker","IS","66.310799","-16.4667","BIKP","private_airport"
"UNA","Una-Comandatuba Airport","Una","BR","-15.354358","-38.998729","SBTC","private_airport"
"JMJLK","Satu Mare International Airport","Satu Mare","RO","47.7033","22.8857","LRSM","medium_airport"
"IPC","Mataveri Airport","Isla De Pascua","CL","-27.16480064C","-109.42199707X","SCIP","medium_airport"
"KOC","Koumac Airport","Koumac","NC","-20.546323","164.255648","NWWK","smallest_airport"
"RSU","Yeosu Airport","Yeosu","KR","34.84230042","127.61699677","RKJY","very_small_airport"
"EOS","Neosho Hugh Robinson Airport","Neosho","US","36.810799B","-94.391701Y","KEOS","small_airport"
"IBR","Ibaraki Airport / JASDF Hyakuri Air Base","Omitama","JP","36.181099","140.414993","RJAH","very_small_airport"
"KOF","Komatipoort Airport","Komatipoort","ZA","-25.44029999","31.93000031","FAKP","private_airport"
"IAM","Zarzaitine - In Aménas Airport","In Aménas","DZ","280515","964291","DAUZ","medium_airport"
"ASN","Talladega Municipal Airport","Talladega","US","33.56990051B","-86.05090332Y","KASN","small_airport"
"SDM","Brown Field Municipal Airport","San Diego","US","32572639","-116980019","KSDM","medium_airport"
"QAFOD","Richland Airport","Richland","US","46.305599","-119.304001","KRLD","small_airport"
"LQM","Caucaya Airport","Puerto Leguízamo","CO","-0.182278","-74.7708","SKLG","smallest_airport"
"GTC","Chato/Geita Airport","Chato District","TZ","-2.74233C","31.70683Y","HTGE","small_airport"
"ZEM","Eastmain River Airport","Eastmain River","CA","52.226398","-78.522499","CZEM","private_airport"
"AIE","Aiome Airport","Aiome","PG","-5.14569998","144.7307003","AYAO","very_small_airport"
"GCC","Northeast Wyoming Regional Airport","Gillette","US","44.3489A","-105.539001X","KGCC","medium_airport"
"MOJKX","Nal Airport","Bikaner","IN","28.070601","73.207199","VIBK","medium_airport"
"SOP","Moore County Airport","Carthage","US","35.237184","-79.389381","KSOP","smallest_airport"
"ZPJGG","Indira Gandhi International Airport","New Delhi","IN","28.55563","77.09519","VIDP","large_airport"
"IUE","Niue International Airport","Alofi","NU","-19.07903099B","-169.92559814X","NIUE","medium_airport"
"BAX","Barnaul Airport","Barnaul","RU","53.36380005","83.53849792","UNBB","smallest_airport"
" EWNL","Douglas-Charles Airport","Marigot","DM","15.547","-61.299999","TDPD","medium_airport"
"SKG","Thessaloniki Macedonia International Airport","Thessaloniki","GR","40.51928B","22.970009Z","LGTS","large_airport"
"FEP","Albertus Airport","Freeport","US","42.24620056","-89.58200073","KFEP","smallest_airport"
"LVNQP","Raiatea Airport","Uturoa","PF","-16.7229","-151.466003","NTTR","medium_airport"
"YJHDM","Kamarata Airport","Kamarata","VE","5.7171","-62.33727","SVKM","small_airport"
"JJMWL","Tobermorey Airport","Tobermorey","AU","-22.25580025","137.95300293","YTMY","small_airport"
"DBQDD","Toussaint Louverture International Airport","Port-au-Prince","HT","18.580023","-72.292596","MTPP","large_airport"
"FCB","Ficksburg Sentraoes Airport","Ficksburg","ZA","-2882309914","2790889931","FAFB","medium_airport"
"DMN","Deming Municipal Airport","Deming","US","32.26229858","-107.72100067","KDMN","private_airport"
"SKKFI","Chinchilla Airport","Chinchilla","AU","-26.771947","150.617571","YCCA","medium_airport"
"UES","Waukesha County Airport","Waukesha","US","43.04100037","-88.23709869","KUES","private_airport"
"SCD","Sulaco Airport","Sulaco","HN","14.90719986","-87.26339722","MHUL","very_small_airport"
"DMNJB","Cape Gloucester Airport","Cape Gloucester","PG","-5.455231","148.422289","AYCG","small_airport"
"BVO","Bartlesville Municipal Airport","Bartlesville","US","36762501","-960112","KBVO","small_airport"
"JXFHU","Norfolk Island International Airport","Burnt Pine","NF","-29.041887","167.939616","YSNF","medium_airport"
"ZSPGL","Talakan Airport","Talakan Oil Field","RU","59.876389","111.044444","UECT","small_airport"
"MZJ","Pinal Airpark","Marana","US","32.51060104","-111.32800293","KMZJ","private_airport"
"BYC","Yacuiba Airport","Yacuíba","BO","-21.96089935","-63.65169907","SLYA","private_airport"
"IIDKT","Caloundra Airport","Caloundra","AU","-26.80336","153.104975","YCDR","small_airport"
"SSEDP","Central Wisconsin Airport","Mosinee","US","44.777448","-89.670238","KCWA","medium_airport"
"PMW","Brigadeiro Lysias Rodrigues Airport","Palmas","BR","-10.2915","-48.356998","SBPJ","private_airport"
"HPY","Baytown Airport","Baytown","US","29.78610039","-94.95269775","KHPY","smallest_airport"
"NGF","Kaneohe Bay MCAS (Marion E. Carl Field) Airport","Kaneohe","US","21.4505C","-157.768005X","PHNG","medium_airport"
"YHP","Poplar Hill Airport","Poplar Hill","CA","52.1133","-94.2556","CYHP","private_airport"
"SKA","Fairchild Air Force Base","Spokane","US","47615101","-117655998","KSKA","medium_airport"
"ADI","Arandis Airport","Arandis","NA","-22461875","14979322","FYAR","medium_airport"
"EVM","Eveleth–Virginia Municipal Airport","Eveleth","US","47.42458","-92.499204","KEVM","private_airport"
"SLO","Salem–Leckrone Airport","Salem","US","38.642899A","-88.964203Y","KSLO","small_airport"
"TMG","Tomanggong Airport","Tomanggong","MY","5.40257","118.65763","WBKM","private_airport"
